1759695952,28.358
1759695953,29.851
1759695954,31.770
1759695955,33.475
1759696010,33.689
1759696012,33.795
1759696028,34.009
1759696031,34.115
1759696035,34.222
1759696036,34.328
1759696041,34.435
1759696042,34.648
1759696047,34.755
1759696049,34.861
1759696051,34.968
1759696056,35.181
1759696059,35.288
1759696061,35.394
1759696064,35.501
1759696065,35.608
1759696072,35.714
1759696073,35.821
1759696080,35.928
1759696106,36.034
1759696107,36.141
1759696233,36.247
1759696237,36.354
1759696251,36.461
1759696271,36.567
1759696282,36.674
1759696294,36.780
1759696490,36.034
1759696652,36.141
1759696662,36.247
1759696699,36.354
1759696703,36.461
1759696705,36.567
1759696713,36.780
1759697085,36.887
1759697100,36.994
1759697110,37.100
1759697490,29.211
1759697491,36.674
1759697743,36.780
