1759035093,29.679
1759035094,32.075
1759035095,32.789
1759035096,32.993
1759035097,33.554
1759035098,34.115
1759035099,34.370
1759035100,34.421
1759035101,34.574
1759035102,34.727
1759035104,34.829
1759035105,34.931
1759035110,34.982
1759035130,35.288
1759035134,35.390
1759035146,38.348
1759035199,38.501
1759035210,44.212
1759035211,44.773
1759035212,44.824
1759035213,45.181
1759035214,45.283
1759035215,45.385
1759035216,45.538
1759035218,45.691
1759035219,45.742
1759035222,45.844
1759035224,45.895
1759035225,45.946
1759035226,45.997
1759035233,46.099
1759035247,46.150
1759035561,46.201
1759035564,46.303
